Nome: BRASILIA
Codigo Estacao: A001
Latitude: -15.78944444
Longitude: -47.92583332
Altitude: 1160.96
Situacao: Operante
Data Inicial: 2020-01-01
Data Final: 2023-03-31
Periodicidade da Medicao: Diaria

Data Medicao;PRECIPITACAO TOTAL, DIARIO (AUT)(mm);PRESSAO ATMOSFERICA MEDIA DIARIA (AUT)(mB);TEMPERATURA DO PONTO DE ORVALHO MEDIA DIARIA (AUT)(°C);TEMPERATURA MAXIMA, DIARIA (AUT)(°C);TEMPERATURA MEDIA, DIARIA (AUT)(°C);TEMPERATURA MINIMA, DIARIA (AUT)(°C);UMIDADE RELATIVA DO AR, MEDIA DIARIA (AUT)(%);UMIDADE RELATIVA DO AR, MINIMA DIARIA (AUT)(%);VENTO, RAJADA MAXIMA DIARIA (AUT)(m/s);VENTO, VELOCIDADE MEDIA DIARIA (AUT)(m/s);
2020-01-01;8.6;884.35;17.6625;25.2;21.175;18.6;80.916667;56;8.9;1.616667;
2020-01-02;.2;884.45;18.079167;27.1;21.883333;19.1;79.958333;54;8;2.779167;
2020-01-03;31.4;885.0125;18.083333;27.6;21.395833;18.3;82.666667;55;10.8;2.6;
2020-01-04;5.2;884.279167;18.454167;25.2;20.258333;18.8;89.708333;65;13;3.425;
2020-01-05;61.4;884.1875;17.9875;23;19.079167;17.4;93.375;79;9;2.1375;
2020-01-06;11.4;885.258333;17.958333;25.6;20.875;17.8;84.166667;63;12.9;3.7375;
2020-01-07;0;886.4625;18.145833;27.8;22.175;18.9;79;56;8.4;2.920833;
2020-01-08;3;886.533333;18.666667;27.3;22.441667;19.4;80.625;54;6.4;1.725;
2020-01-09;0;886.941667;18.420833;27.2;21.216667;18.1;84.708333;59;12.6;1.545833;
2020-01-10;12.2;886.3;17.9375;29.9;22.916667;17.8;76.083333;43;7;1.908333;
2020-01-11;.6;885.8875;16.504167;29.9;24.5375;18.6;65.166667;29;8.2;1.8875;
2020-01-12;0;886.7375;14.641667;31.3;24.133333;17.1;59.791667;26;6.7;1.308333;
2020-01-13;0;886.6625;14.375;31;24.4625;17.9;57.208333;27;8;1.7125;
2020-01-14;0;886.4625;16;30.9;25.0125;18.9;60.666667;29;8.1;1.941667;
2020-01-15;0;885.970833;15.945833;30.9;25.020833;18.7;59.5;31;7.5;2.025;
2020-01-16;0;887.579167;16.225;30.9;25.458333;20.5;58.125;35;7.7;2.016667;
2020-01-17;0;888.008333;16.833333;29.6;23.920833;19.4;65.625;45;9.4;2.008333;
2020-01-18;1.6;888.208333;18.025;26.7;21.704167;18.1;80.083333;62;8.8;2.016667;
2020-01-19;0;886.833333;17.583333;30.7;23.841667;17.9;70.25;40;9.3;1.879167;
2020-01-20;4.8;885.270833;18.575;29.6;23.254167;19.4;76.583333;43;7.3;1.779167;
2020-01-21;9.2;883.375;18.854167;27.7;21.891667;19.9;83.708333;57;12.3;2.608333;
2020-01-22;.6;882.770833;18.533333;24.1;20.395833;19.4;89.291667;72;9.2;2.970833;
2020-01-23;8.4;882.233333;18.55;25;20.545833;18.8;88.791667;68;10.7;3.6375;
2020-01-24;10.2;882.225;18.808333;23.7;20.120833;19;92.25;74;15.3;4.383333;
2020-01-25;30;884.358333;18.645833;22.9;19.966667;18.8;92.166667;77;12.6;4.025;
2020-01-26;52;885.470833;18.758333;25.1;20.195833;18.6;91.75;72;9.4;2.4;
2020-01-27;56;885.9375;18.625;27.3;20.870833;18.6;87.958333;57;11.6;2.420833;
2020-01-28;8.6;886.9;18.004167;26.3;20.758333;18.4;85.25;59;11.1;3.245833;
2020-01-29;4;888.016667;17.2;27.8;22.266667;18.3;75.083333;45;8.1;1.929167;
2020-01-30;0;888.679167;17.545833;30.5;22.870833;18.4;74.375;43;6.7;1.445833;
2020-01-31;0;888.304167;16.8875;30.4;24.120833;18.7;66.958333;36;7.3;1.8625;
2020-02-01;0;887.970833;15.75;30.4;23.766667;17.5;64.416667;32;6.9;1.475;
2020-02-02;0;887.345833;16.941667;30;24.1875;19;66.541667;38;7.5;2.020833;
2020-02-03;0;887.033333;17.220833;30.3;23.720833;17.9;69.416667;36;10.1;2.1;
2020-02-04;23;887.375;17.429167;27.7;21.558333;18.5;78.625;51;13.4;2.170833;
2020-02-05;0;886.979167;17.054167;29.4;22.258333;17.6;74.5;43;7.1;1.729167;
2020-02-06;13.6;886.9375;18.241667;25.5;20.395833;18.5;88.166667;62;7.1;1.795833;
2020-02-07;37.4;885.15;17.345833;21.1;18.766667;16.6;91.458333;81;12.4;3.579167;
2020-02-08;22.2;885.4875;17.529167;20.9;18.579167;17.6;93.666667;86;10;3.220833;
2020-02-09;12.6;888.004167;17.025;22.1;19.116667;16.8;87.958333;73;12;4.075;
2020-02-10;3.6;889.0875;16.8875;29.3;21.108333;17.6;79.041667;40;10.6;2.745833;
2020-02-11;2;887.866667;18.05;28.7;21.883333;18.3;80.208333;48;10;1.245833;
2020-02-12;4;886.670833;18.3875;26.2;21.679167;18.5;82.125;62;8.3;1.791667;
2020-02-13;2.2;886.879167;17.954167;28.2;21.533333;18.4;81.916667;45;8.3;1.883333;
2020-02-14;1.8;886.908333;18.479167;28.6;22.033333;18.7;81.458333;48;4.6;1.3375;
2020-02-15;4;886.65;18.075;28.5;21.8625;17.1;80.166667;50;8.3;1.654167;
2020-02-16;1.4;886.5875;18.275;29.6;22.625;18.5;77.875;47;9.5;1.695833;
2020-02-17;0;886.466667;17.866667;28.9;23.275;19.5;73.583333;42;9.3;2.2375;
2020-02-18;0;886.9;16.7875;27.7;23.416667;19.3;68.083333;46;7.7;1.866667;
2020-02-19;0;885.295833;17.704167;28.4;23.066667;19.8;72.875;48;8.8;1.8125;
2020-02-20;4.4;885.208333;18.445833;28.5;22.266667;18.8;80.375;48;8.8;1.995833;
2020-02-21;18.8;886.291667;17.704167;28.6;22.170833;16.7;77.458333;47;10.9;1.9875;
2020-02-22;.2;887.270833;18.3;27.3;22.441667;18.4;78.333333;54;10.7;1.208333;
2020-02-23;3.6;887.8625;18.408333;26.3;21.758333;19;82.083333;52;6.5;1.504167;
2020-02-24;2;887.420833;18.5;25.8;20.541667;18.7;88.5;62;8.3;1.291667;
2020-02-25;19;887.266667;18.391667;27;21.216667;18.5;84.916667;56;8.1;1.575;
2020-02-26;1.6;886.395833;18.633333;27.5;21.154167;18.6;86.125;57;12.9;1.55;
2020-02-27;1;885.741667;17.675;29.6;22.8;17.3;75.041667;45;10.4;2.15;
2020-02-28;0;887.483333;18.966667;27.4;21.404167;20;86.416667;59;10.2;1.4375;
2020-02-29;10.6;888.420833;18.2125;24.3;20.258333;17.2;88.458333;69;6.3;1.379167;
2020-03-01;5.2;887.195833;18.166667;26.5;21.104167;17.1;84.166667;52;9;1.35;
2020-03-02;3;885.545833;18.708333;26.9;21.370833;19.7;85.541667;58;7.5;1.779167;
2020-03-03;36;885.4875;18.075;27.1;21.554167;17.9;82;56;7.6;1.9625;
2020-03-04;0;886.741667;18.0625;28.2;22.133333;17.9;79;52;8;1.983333;
2020-03-05;0;887.333333;18.6125;26.3;21.279167;19.3;85.541667;60;7.6;1.554167;
2020-03-06;40.4;887.041667;18.0625;21.6;19.275;17.4;92.833333;83;7.8;2.1125;
2020-03-07;10.6;885.470833;18.266667;25.4;20.283333;18.2;88.583333;67;6.5;1.654167;
2020-03-08;7.4;885.683333;17.925;27.2;21.595833;18.1;81.208333;50;7.8;1.570833;
2020-03-09;20.4;887.233333;18.079167;25.6;21.895833;18.8;80.166667;57;10.8;1.7625;
2020-03-10;0;887.054167;17.954167;28;22.8625;19.4;75;51;8.4;2.7625;
