Nome: BRASILIA
Codigo Estacao: A001
Latitude: -15.78944444
Longitude: -47.92583332
Altitude: 1160.96
Situacao: Operante
Data Inicial: 2020-01-01
Data Final: 2023-03-31
Periodicidade da Medicao: Horaria

Data Medicao;Hora Medicao;RADIACAO GLOBAL(Kj/m²);
2020-01-01;0000;-3.223;
2020-01-01;0100;-3.53;
2020-01-01;0200;-3.193;
2020-01-01;0300;-2.812;
2020-01-01;0400;-3.296;
2020-01-01;0500;-3.526;
2020-01-01;0600;-2.569;
2020-01-01;0700;-.517;
2020-01-01;0800;-1.925;
2020-01-01;0900;3.851;
2020-01-01;1000;241.384;
2020-01-01;1100;525.096;
2020-01-01;1200;1347.025;
2020-01-01;1300;2426.493;
2020-01-01;1400;2016.883;
2020-01-01;1500;965.657;
2020-01-01;1600;1865.598;
2020-01-01;1700;1638.661;
2020-01-01;1800;301.746;
2020-01-01;1900;629.872;
2020-01-01;2000;605.029;
2020-01-01;2100;582.576;
2020-01-01;2200;72.937;
2020-01-01;2300;-3.54;
2020-01-02;0000;-2.599;
2020-01-02;0100;-3.215;
2020-01-02;0200;-3.536;
2020-01-02;0300;-3.312;
2020-01-02;0400;-3.487;
2020-01-02;0500;-3.376;
2020-01-02;0600;-3.251;
2020-01-02;0700;-2.911;
2020-01-02;0800;-3.197;
2020-01-02;0900;.397;
2020-01-02;1000;314.05;
2020-01-02;1100;713.249;
2020-01-02;1200;1393.247;
2020-01-02;1300;1909.206;
2020-01-02;1400;2240.517;
2020-01-02;1500;1866.609;
2020-01-02;1600;2899.594;
2020-01-02;1700;2654.927;
2020-01-02;1800;1547.94;
2020-01-02;1900;1151.042;
2020-01-02;2000;1689.976;
2020-01-02;2100;463.05;
2020-01-02;2200;65.028;
2020-01-02;2300;-2.668;
2020-01-03;0000;-2.361;
2020-01-03;0100;-2.315;
2020-01-03;0200;.012;
2020-01-03;0300;-2.35;
2020-01-03;0400;-2.399;
2020-01-03;0500;-2.325;
2020-01-03;0600;-2.682;
2020-01-03;0700;-1.444;
2020-01-03;0800;-1.242;
2020-01-03;0900;2.589;
2020-01-03;1000;134.471;
2020-01-03;1100;870.469;
2020-01-03;1200;1632.998;
2020-01-03;1300;1637.638;
2020-01-03;1400;2102.885;
2020-01-03;1500;2925.496;
2020-01-03;1600;2920.337;
2020-01-03;1700;1748.847;
2020-01-03;1800;2672.106;
2020-01-03;1900;2257.108;
2020-01-03;2000;1325.867;
2020-01-03;2100;401.303;
2020-01-03;2200;107.426;
2020-01-03;2300;-3.367;
2020-01-04;0000;-3.54;
2020-01-04;0100;-3.092;
2020-01-04;0200;-2.408;
2020-01-04;0300;-2.31;
2020-01-04;0400;-1.262;
2020-01-04;0500;-2.161;
2020-01-04;0600;-3.445;
2020-01-04;0700;-2.429;
2020-01-04;0800;-2.454;
2020-01-04;0900;2.756;
2020-01-04;1000;256.761;
2020-01-04;1100;844.061;
2020-01-04;1200;1383.364;
2020-01-04;1300;1444.067;
2020-01-04;1400;1899.703;
2020-01-04;1500;2925.801;
2020-01-04;1600;1425.085;
2020-01-04;1700;1586.555;
2020-01-04;1800;614.713;
2020-01-04;1900;106.717;
2020-01-04;2000;286.085;
2020-01-04;2100;213.627;
2020-01-04;2200;46.12;
2020-01-04;2300;-1.792;
2020-01-05;0000;-1.69;
2020-01-05;0100;-1.907;
2020-01-05;0200;-2.139;
2020-01-05;0300;-1.506;
2020-01-05;0400;-.824;
2020-01-05;0500;-1.04;
2020-01-05;0600;-.329;
2020-01-05;0700;-.528;
2020-01-05;0800;.048;
2020-01-05;0900;.619;
2020-01-05;1000;32.871;
2020-01-05;1100;121.095;
2020-01-05;1200;1144.675;
2020-01-05;1300;1076.223;
2020-01-05;1400;1492.713;
2020-01-05;1500;1564.15;
2020-01-05;1600;443.552;
2020-01-05;1700;50.201;
2020-01-05;1800;40.52;
2020-01-05;1900;94.591;
2020-01-05;2000;58.916;
2020-01-05;2100;229.258;
2020-01-05;2200;35.796;
2020-01-05;2300;-2.742;
2020-01-06;0000;-2.769;
2020-01-06;0100;-2.993;
2020-01-06;0200;-1.551;
2020-01-06;0300;-.989;
2020-01-06;0400;-1.773;
2020-01-06;0500;-1.693;
2020-01-06;0600;-.088;
2020-01-06;0700;.021;
2020-01-06;0800;-.831;
2020-01-06;0900;9.728;
2020-01-06;1000;456.798;
2020-01-06;1100;616.871;
2020-01-06;1200;1652.722;
2020-01-06;1300;2154.502;
2020-01-06;1400;2351.493;
2020-01-06;1500;2474.724;
2020-01-06;1600;2107.137;
2020-01-06;1700;1779.867;
2020-01-06;1800;1539.774;
2020-01-06;1900;1838.496;
2020-01-06;2000;1356.872;
2020-01-06;2100;757.69;
2020-01-06;2200;129.368;
2020-01-06;2300;-3.54;
2020-01-07;0000;-3.54;
2020-01-07;0100;-3.54;
2020-01-07;0200;-3.54;
2020-01-07;0300;-3.54;
2020-01-07;0400;-3.54;
2020-01-07;0500;-3.54;
2020-01-07;0600;-3.54;
2020-01-07;0700;-3.54;
2020-01-07;0800;-3.53;
2020-01-07;0900;-1.758;
2020-01-07;1000;120.186;
2020-01-07;1100;615.902;
2020-01-07;1200;1302.674;
2020-01-07;1300;1768.553;
2020-01-07;1400;2238.697;
2020-01-07;1500;2395.539;
2020-01-07;1600;3080.089;
2020-01-07;1700;3848.599;
2020-01-07;1800;3078.474;
2020-01-07;1900;1867.774;
2020-01-07;2000;1633.565;
2020-01-07;2100;562.975;
2020-01-07;2200;101.54;
2020-01-07;2300;-3.481;
2020-01-08;0000;-3.534;
2020-01-08;0100;-2.471;
